% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 29 2022, 02:26
% Table:              Probe Table 3 - 
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Zdb, Point: 5                                     Z (N*s/m), Point: 5
0.1                                               0.1                                               349.23                                            50.00951503767916                                 25.11732866956053-315.5763803285068i
0.1                                               0.1                                               440                                               48.64984643974661                                 16.406814529800073-270.2048827001946i
0.1                                               0.1                                               523.25                                            47.60760145551136                                 239.02207442763583+22.655001820124735i
0.1                                               0.1                                               659.25                                            48.7920100141304                                  26.23920956543783-273.91573420834834i
0.1                                               0.1                                               783.99                                            44.81509990779572                                 110.46022707381553-134.54827517578883i
0.1                                               0.18571428571428572                               349.23                                            57.233604582203526                                126.22957179596735-716.2053693332584i
0.1                                               0.18571428571428572                               440                                               46.62351106311324                                 15.208500280860127-213.83554843823035i
0.1                                               0.18571428571428572                               523.25                                            36.21416381006944                                 64.60369012700295-2.945296137345275i
0.1                                               0.18571428571428572                               659.25                                            45.69440270444709                                 15.423257544499501-192.0098760322207i
0.1                                               0.18571428571428572                               783.99                                            47.48066209986913                                 229.15223019118235-58.93683003186228i
0.1                                               0.2714285714285714                                349.23                                            51.47447971926442                                 34.85782171304042-373.11000615698254i
0.1                                               0.2714285714285714                                440                                               47.09886119724655                                 15.736961352026203-225.8872285198928i
0.1                                               0.2714285714285714                                523.25                                            53.31402148108495                                 187.47761370757726-423.4852108445959i
0.1                                               0.2714285714285714                                659.25                                            52.551428232519754                                79.8067216075383-416.62590723649834i
0.1                                               0.2714285714285714                                783.99                                            45.834438137102794                                135.26249077336544-141.51210018696625i
0.1                                               0.3571428571428571                                349.23                                            53.10590906582436                                 50.61386345761286-449.32173531224356i
0.1                                               0.3571428571428571                                440                                               45.42549138212923                                 17.55748005646504-185.92885556207108i
0.1                                               0.3571428571428571                                523.25                                            47.156731287072176                                225.6929907401922-31.986729496266996i
0.1                                               0.3571428571428571                                659.25                                            44.974280429063185                                24.254310788239778-175.63537121879023i
0.1                                               0.3571428571428571                                783.99                                            49.684020220036956                                249.71785460817765+174.99618584258005i
0.1                                               0.44285714285714284                               349.23                                            48.851069874544734                                166.11198093544695-221.72475015137448i
0.1                                               0.44285714285714284                               440                                               45.907129407823035                                14.965555609491417-196.83613746215522i
0.1                                               0.44285714285714284                               523.25                                            57.680910395710455                                691.864916117221+327.9999775134572i
0.1                                               0.44285714285714284                               659.25                                            48.11418993749578                                 30.93349195794854-252.62589945446334i
0.1                                               0.44285714285714284                               783.99                                            48.676308840882626                                212.04935046825094-169.59601000057674i
0.1                                               0.5285714285714285                                349.23                                            52.64517596365679                                 59.02678886415685-424.72188951325614i
0.1                                               0.5285714285714285                                440                                               46.83158403474893                                 10.590541955589183-219.31758213208997i
0.1                                               0.5285714285714285                                523.25                                            48.28214715320348                                 166.36282329177894-199.13401735216812i
0.1                                               0.5285714285714285                                659.25                                            48.519449684295935                                22.95864644713293-265.6788293345128i
0.1                                               0.5285714285714285                                783.99                                            47.45576715779198                                 189.43967686257037-140.63038144493188i
0.1                                               0.6142857142857142                                349.23                                            57.5548626682974                                  710.1607922607066-255.2682210481089i
0.1                                               0.6142857142857142                                440                                               46.404424632995415                                13.715772207382223-208.58560861731277i
0.1                                               0.6142857142857142                                523.25                                            41.48532515272083                                 93.60892802532734+72.90469687165243i
0.1                                               0.6142857142857142                                659.25                                            46.964104964668884                                23.422426853024508-221.71509265900553i
0.1                                               0.6142857142857142                                783.99                                            53.853108533629864                                481.9342417009795-102.83067118865257i
0.1                                               0.6999999999999998                                349.23                                            49.36128198410142                                 53.66799846214824-288.8651563400667i
0.1                                               0.6999999999999998                                440                                               46.592437162993015                                10.984731409735506-213.32750928920996i
0.1                                               0.6999999999999998                                523.25                                            59.37059357363432                                 507.86608782206724-779.2035571751436i
0.1                                               0.6999999999999998                                659.25                                            52.45541959200654                                 84.75046398543705-410.8883421742644i
0.1                                               0.6999999999999998                                783.99                                            44.00993557742317                                 144.79229132391205-64.8967501898125i
0.18000000000000002                               0.1                                               349.23                                            42.77431778235223                                 23.790407421716946-135.55912308978677i
0.18000000000000002                               0.1                                               440                                               42.785708385239936                                27.07954454551584-135.12477291203874i
0.18000000000000002                               0.1                                               523.25                                            39.433309836331496                                70.86735995846297+61.27407145323484i
0.18000000000000002                               0.1                                               659.25                                            58.3655656792864                                  799.6600859625391-216.58952084517918i
0.18000000000000002                               0.1                                               783.99                                            45.803319966876074                                124.89762333003034+149.82856213806463i
0.18000000000000002                               0.18571428571428572                               349.23                                            52.55287095655692                                 123.87850140014075+405.78339575487144i
0.18000000000000002                               0.18571428571428572                               440                                               49.504968993215655                                36.23550591469694-296.5031416760709i
0.18000000000000002                               0.18571428571428572                               523.25                                            45.750664485333836                                177.49255449529633+78.01207860120662i
0.18000000000000002                               0.18571428571428572                               659.25                                            55.33805499948542                                 499.7227907287152-303.4855066376192i
0.18000000000000002                               0.18571428571428572                               783.99                                            46.044740336572794                                185.9814925845495+75.05894366894344i
0.18000000000000002                               0.2714285714285714                                349.23                                            48.32360298069189                                 56.81957658762736-254.45681410343923i
0.18000000000000002                               0.2714285714285714                                440                                               44.7672153131122                                  21.677352428013798-171.76289814721383i
0.18000000000000002                               0.2714285714285714                                523.25                                            54.861639070565815                                313.78144407473667+455.9091269961261i
0.18000000000000002                               0.2714285714285714                                659.25                                            54.19610988814928                                 202.65311325961812+470.87473813164576i
0.18000000000000002                               0.2714285714285714                                783.99                                            47.48451734954105                                 225.2996506621256-72.62287171925334i
0.18000000000000002                               0.3571428571428571                                349.23                                            56.19961852540581                                 441.4837154645836-471.08905440525905i
0.18000000000000002                               0.3571428571428571                                440                                               45.35299081106877                                 21.06936958451181-184.00128664166343i
0.18000000000000002                               0.3571428571428571                                523.25                                            35.419678313645434                                54.02964322382474+23.74684812807746i
0.18000000000000002                               0.3571428571428571                                659.25                                            59.552461568442396                                374.5574225133409-872.8052632636085i
0.18000000000000002                               0.3571428571428571                                783.99                                            48.10402304609618                                 94.27866155134946+236.0864124902567i
0.18000000000000002                               0.44285714285714284                               349.23                                            42.24264068963684                                 126.33164038781378-28.283083951767175i
0.18000000000000002                               0.44285714285714284                               440                                               46.347179766672035                                31.304008275521554-205.2899260605811i
0.18000000000000002                               0.44285714285714284                               523.25                                            41.75031882145814                                 41.19880480400835+115.17861559696634i
0.18000000000000002                               0.44285714285714284                               659.25                                            51.9039239845348                                  126.30040123679068+372.9207343851698i
0.18000000000000002                               0.44285714285714284                               783.99                                            48.313675428954575                                116.65749258682035+232.8358932323029i
0.18000000000000002                               0.5285714285714285                                349.23                                            41.366933678985546                                98.64612662357733-62.992727494012684i
0.18000000000000002                               0.5285714285714285                                440                                               45.063878718755255                                19.71993559063249-178.05186217568868i
0.18000000000000002                               0.5285714285714285                                523.25                                            47.37885612688083                                 134.59936027978986+191.2333724428088i
0.18000000000000002                               0.5285714285714285                                659.25                                            52.79866811326996                                 128.20804160740798+417.1934113654737i
0.18000000000000002                               0.5285714285714285                                783.99                                            47.68267607604863                                 214.7345711833878+111.97771530689208i
0.18000000000000002                               0.6142857142857142                                349.23                                            44.18376693912229                                 139.63668781614314+81.89105371069033i
0.18000000000000002                               0.6142857142857142                                440                                               47.977309224784804                                46.35385476092286-246.20774810369934i
0.18000000000000002                               0.6142857142857142                                523.25                                            38.23516808414879                                 51.613085616674155+63.21979426634675i
0.18000000000000002                               0.6142857142857142                                659.25                                            55.67404842883612                                 187.16220269219545-578.1799237874496i
0.18000000000000002                               0.6142857142857142                                783.99                                            50.0590361987544                                  147.05969857948676+282.3864108874378i
0.18000000000000002                               0.6999999999999998                                349.23                                            49.69763868320199                                 110.18120428811783-284.84171712935256i
0.18000000000000002                               0.6999999999999998                                440                                               36.804746646911774                                27.5875381817172-63.48592549250765i
0.18000000000000002                               0.6999999999999998                                523.25                                            50.16380975041329                                 134.555669814699+292.8116597325053i
0.18000000000000002                               0.6999999999999998                                659.25                                            56.776514701150845                                401.17472872500866+561.3444859938319i
0.18000000000000002                               0.6999999999999998                                783.99                                            37.05801917712436                                 64.68228209101757-29.924565421125422i
0.26                                              0.1                                               349.23                                            42.42197354317377                                 28.447841984753737-129.06152436994694i
0.26                                              0.1                                               440                                               52.81486717274085                                 268.0467656009049+345.47129556720745i
0.26                                              0.1                                               523.25                                            47.77345365727547                                 220.9190718981548-105.2783445329049i
0.26                                              0.1                                               659.25                                            47.23462709469311                                 105.82950687403137+204.20816019134443i
0.26                                              0.1                                               783.99                                            53.36632293428377                                 462.346933969166-57.632899172995934i
0.26                                              0.18571428571428572                               349.23                                            48.36643811036502                                 38.242405072815735+259.2065494318922i
0.26                                              0.18571428571428572                               440                                               64.28096951677529                                 1014.43085128088-1284.794355418963i
0.26                                              0.18571428571428572                               523.25                                            39.52570443818111                                 52.1436442578518-79.03452613519796i
0.26                                              0.18571428571428572                               659.25                                            61.37138293772619                                 1116.2220233130806+354.0716941324185i
0.26                                              0.18571428571428572                               783.99                                            47.88898864850313                                 100.42354657758797+226.75642100518994i
0.26                                              0.2714285714285714                                349.23                                            48.002596450559864                                79.83809116146841-238.24220242446273i
0.26                                              0.2714285714285714                                440                                               53.31389481335944                                 228.00004329174533+403.1095434023333i
0.26                                              0.2714285714285714                                523.25                                            63.89706752208905                                 877.7905911774992+1297.1259248884335i
0.26                                              0.2714285714285714                                659.25                                            62.86419475480757                                 1259.440858568074+589.6134224517536i
0.26                                              0.2714285714285714                                783.99                                            60.15442827693875                                 827.4381432628484+592.9117178368103i
0.26                                              0.3571428571428571                                349.23                                            56.68539651815172                                 603.2094398126694-319.84896345885426i
0.26                                              0.3571428571428571                                440                                               51.62072897389211                                 142.64337003614264-353.3955387908966i
0.26                                              0.3571428571428571                                523.25                                            44.136691992570576                                71.08115367241638-144.46283589431775i
0.26                                              0.3571428571428571                                659.25                                            61.87466355353311                                 421.2343809762482-1167.2055643187011i
0.26                                              0.3571428571428571                                783.99                                            47.88779481914068                                 241.55633923616145+56.008872974952574i
0.26                                              0.44285714285714284                               349.23                                            42.906960209367575                                111.78338795272758-83.87010411272075i
0.26                                              0.44285714285714284                               440                                               54.76134359058685                                 242.65004936354742-490.34682028561565i
0.26                                              0.44285714285714284                               523.25                                            39.80147537361768                                 36.77627010059834+90.55758744658853i
0.26                                              0.44285714285714284                               659.25                                            67.67488510758776                                 2302.4814966642425-743.6810059440264i
0.26                                              0.44285714285714284                               783.99                                            55.76871492125651                                 605.9449059458335-101.44582140773014i
0.26                                              0.5285714285714285                                349.23                                            53.88758544045953                                 417.64140501509-265.2279351255908i
0.26                                              0.5285714285714285                                440                                               58.61676696495302                                 282.4532627775211+804.6479830252847i
0.26                                              0.5285714285714285                                523.25                                            62.313437428665466                                668.820405230307-1120.7968419615108i
0.26                                              0.5285714285714285                                659.25                                            61.457499439510606                                657.7682363603044+982.9153849155641i
0.26                                              0.5285714285714285                                783.99                                            54.01558667439265                                 414.6532628137929-283.1155975303532i
0.26                                              0.6142857142857142                                349.23                                            35.42896186385881                                 49.9235314744717+31.594456408533002i
0.26                                              0.6142857142857142                                440                                               35.11199301540694                                 44.153837281043586+35.99060420908768i
0.26                                              0.6142857142857142                                523.25                                            53.49675529162106                                 296.5765154573693+368.43898692266987i
0.26                                              0.6142857142857142                                659.25                                            68.96450369186722                                 2707.3024815877943-741.0379029760479i
0.26                                              0.6142857142857142                                783.99                                            52.96803056355884                                 257.5141668760497+362.97288965110846i
0.26                                              0.6999999999999998                                349.23                                            43.66355014921182                                 82.24555987472475-128.38236197811614i
0.26                                              0.6999999999999998                                440                                               57.63224097841656                                 298.38490423640303-700.4956889453988i
0.26                                              0.6999999999999998                                523.25                                            39.60473386688066                                 92.88858684040908-22.40011799427591i
0.26                                              0.6999999999999998                                659.25                                            66.78629041367222                                 1587.5758905936868+1500.2727710079266i
