% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 30 2022, 22:51
% Table:              Table 3 - Point Probe 1
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Zdb, Point: 5                                     Z (N*s/m), Point: 5
0.05                                              0.05                                              440                                               59.393620305926184                                13.16311698235436-932.47618440512i
0.05                                              0.05                                              442                                               59.2774623315858                                  14.059240600396999-920.0732822948684i
0.05                                              0.05                                              444                                               59.15052209009174                                 15.543783121333743-906.6972444865243i
0.05                                              0.05                                              446                                               59.00654688587909                                 18.06004348939972-891.740098600373i
0.05                                              0.05                                              448                                               58.83512398547545                                 22.712366548417346-874.1977286651096i
0.05                                              0.05                                              450                                               58.62023513081581                                 32.7239179815293-852.4953685669163i
0.05                                              0.05                                              452                                               58.37366206124122                                 59.302147119923745-827.1222945029274i
0.05                                              0.05                                              454                                               58.5588274991825                                  122.52498245105902-838.2053192554679i
0.05                                              0.05                                              456                                               59.2068774288526                                  100.03530301720275-907.2347670927481i
0.05                                              0.05                                              458                                               58.982206433545                                   56.35730396173335-887.6397291161705i
0.05                                              0.05                                              460                                               58.62153359826391                                 48.033505425-851.8976633532645i
0.05                                              0.05                                              462                                               58.21823588075819                                 59.18477089991425-812.3857909336847i
0.05                                              0.05                                              464                                               57.76252016563407                                 100.5041688369818-766.3424512111095i
0.05                                              0.05                                              466                                               57.9074771508877                                  218.59407010510856-754.9000772036055i
0.05                                              0.05                                              468                                               59.71580729157338                                 274.2449359663506-928.1417079633935i
0.05                                              0.05                                              470                                               59.99015804190118                                 166.73027000031638-984.8539934150422i
0.05                                              0.05                                              472                                               59.77307716237234                                 97.48642592237628-969.3230077120222i
0.05                                              0.05                                              474                                               59.43327399931337                                 75.82321137958338-933.7628458586257i
0.05                                              0.05                                              476                                               59.34740626221625                                 66.83317603986664-925.209717209424i
0.05                                              0.05                                              478                                               59.128223368111605                                47.085654431900984-903.2790135990587i
0.05                                              0.05                                              480                                               58.83383009734973                                 44.4522211846128-873.2317659540194i
0.05                                              0.05                                              482                                               58.55375403209094                                 60.95283323244283-844.4213774936355i
0.05                                              0.05                                              484                                               58.6148796732974                                  107.9040256761436-845.7416744433389i
0.05                                              0.05                                              486                                               59.167063805290134                                96.2351402506323-903.4480976859089i
0.05                                              0.05                                              488                                               59.05381848340572                                 51.62263524144226-895.3033158284577i
0.05                                              0.05                                              490                                               58.803522699000446                                34.98373032268165-870.6143057419116i
0.05                                              0.05                                              492                                               58.568679318092066                                30.343947777589918-847.5313993747362i
0.05                                              0.05                                              494                                               58.338027267379374                                32.547325676967546-825.208756394714i
0.05                                              0.05                                              496                                               58.10306148696583                                 44.65918094570116-802.5678104057589i
0.05                                              0.05                                              498                                               58.01836648830195                                 78.86561068870385-792.0931473920405i
0.05                                              0.05                                              500                                               58.507811463238035                                95.16154985189088-836.7583644691372i
0.05                                              0.05                                              502                                               58.56598250412495                                 54.43307010094206-846.0619311071905i
0.05                                              0.05                                              504                                               58.346204952648                                   34.59768577441612-825.9039155840563i
0.05                                              0.05                                              506                                               58.124500091278286                                27.711265903472462-805.3191742690683i
0.05                                              0.05                                              508                                               57.91272458653648                                 25.948853698000406-785.9585848316331i
0.05                                              0.05                                              510                                               57.69550926620174                                 27.197586548010154-766.4824717652376i
0.05                                              0.05                                              512                                               57.45479743462258                                 31.612408405980347-745.3316925503259i
0.05                                              0.05                                              514                                               57.168685460201004                                41.43138840754535-720.6388955266939i
0.05                                              0.05                                              516                                               56.821789713684474                                63.696743835414985-690.6375796815025i
0.05                                              0.05                                              518                                               56.56099396781539                                 119.39372043469922-662.3793367483033i
0.05                                              0.05                                              520                                               57.455365401681384                                222.71846748373997-712.0308605533439i
0.05                                              0.05                                              522                                               58.744402180052305                                182.89875707555547-845.8583236902971i
0.05                                              0.05                                              524                                               58.60755045865864                                 93.26838778118866-846.757070741472i
0.05                                              0.05                                              526                                               58.23975432493059                                 55.64508948136378-814.6610791334311i
0.05                                              0.05                                              528                                               57.91661436690454                                 40.470450323516815-785.6974657668055i
0.05                                              0.05                                              530                                               57.63451596510153                                 34.09813143603617-760.8343052267767i
0.05                                              0.05                                              532                                               57.3693184037348                                  32.064981723928945-738.0000350255876i
0.05                                              0.05                                              534                                               57.10125188776093                                 33.21601570973634-715.4760218906474i
0.05                                              0.05                                              536                                               56.81499975842662                                 38.225361560326874-691.9717301000702i
0.05                                              0.05                                              538                                               56.521572659367806                                50.3919532053022-668.1082017789843i
0.05                                              0.05                                              540                                               56.36971093197761                                 69.72181553502362-654.6914488069914i
0.05                                              0.05                                              542                                               56.233001587471854                                71.4012311452699-644.166951284551i
0.05                                              0.05                                              544                                               55.759916128809536                                76.76255766648708-608.9368061384209i
0.05                                              0.05                                              546                                               55.1054543859739                                  105.10873264297044-559.4215529615936i
0.05                                              0.05                                              548                                               54.48192699374366                                 175.94332670869082-499.7117330762702i
0.05                                              0.05                                              550                                               55.332161304836376                                344.422018237452-471.9493880682064i
0.05                                              0.05                                              552                                               58.941348336330094                                552.1126375922643-691.985942153229i
0.05                                              0.05                                              554                                               60.3123091807886                                  385.6405364537389-962.2068333550707i
0.05                                              0.05                                              556                                               59.784783536918766                                198.43393507215498-955.1316074966525i
0.05                                              0.05                                              558                                               59.11575778449582                                 116.9541636410433-895.6041768951538i
0.05                                              0.05                                              560                                               58.55747687113531                                 82.24717497755691-842.978526587252i
0.05                                              0.05                                              562                                               58.08097841752957                                 68.42971028714037-798.8428498939725i
0.05                                              0.05                                              564                                               57.642755975159204                                68.22855504727768-759.2614465076547i
0.05                                              0.05                                              566                                               57.24198574968088                                 84.65415921359865-723.0071601740133i
0.05                                              0.05                                              568                                               57.12279562124898                                 127.65539041662188-706.5865222011424i
0.05                                              0.05                                              570                                               57.66400502263221                                 152.1249745263421-748.8934451061276i
0.05                                              0.05                                              572                                               57.715274104392236                                113.18312392021438-760.3340322423687i
0.05                                              0.05                                              574                                               57.299432163368195                                98.5210942026229-726.1233906651177i
0.05                                              0.05                                              576                                               56.871698605167005                                123.88257812472527-686.4769424339758i
0.05                                              0.05                                              578                                               57.01518032453741                                 201.58290644615724-679.9312318440133i
0.05                                              0.05                                              580                                               58.39955200283497                                 256.3273754582091-791.2369337033774i
0.05                                              0.05                                              582                                               58.951554736194645                                166.28808855312974-870.5544578116888i
0.05                                              0.05                                              584                                               58.68840432090306                                 93.07867956223193-854.7923371110215i
0.05                                              0.05                                              586                                               58.352654886066645                                58.863499087549464-825.1454088065672i
0.05                                              0.05                                              588                                               58.06982922395523                                 42.051809506355156-799.6349219152461i
0.05                                              0.05                                              590                                               57.83677181325257                                 32.81944041453112-778.8491613927156i
0.05                                              0.05                                              592                                               57.639337583510255                                27.259499345782363-761.5331651991494i
0.05                                              0.05                                              594                                               57.4666502206189                                  23.676355656771754-746.6451864491937i
0.05                                              0.05                                              596                                               57.31128893821868                                 21.256487249189206-733.4696452624826i
0.05                                              0.05                                              598                                               57.168165981877124                                19.57546949116243-721.5202415296907i
0.05                                              0.05                                              600                                               57.03366127021851                                 18.397526441577053-710.4565130498324i
0.05                                              0.05                                              602                                               56.90506348920551                                 17.586645879324077-700.0292144055447i
0.05                                              0.05                                              604                                               56.780210811414676                                17.064469048757147-690.0455910717046i
0.05                                              0.05                                              606                                               56.65724627402925                                 16.78980094642193-680.3464251498746i
0.05                                              0.05                                              608                                               56.534432041204                                   16.749443670464203-670.789499396449i
0.05                                              0.05                                              610                                               56.40998392483867                                 16.956383990233928-661.2359387845083i
0.05                                              0.05                                              612                                               56.281894044163245                                17.45485800125473-651.5367351569205i
0.05                                              0.05                                              614                                               56.147708486890046                                18.33511106201165-641.5169217235353i
0.05                                              0.05                                              616                                               56.004224438268444                                19.76628950967678-630.9547501334595i
0.05                                              0.05                                              618                                               55.847096891180655                                22.06901639046184-619.5544690558471i
0.05                                              0.05                                              620                                               55.67055901907621                                 25.8840808508653-606.922656007997i
0.05                                              0.05                                              622                                               55.46875909090425                                 32.590258958801584-592.6281106731084i
0.05                                              0.05                                              624                                               55.24779133439395                                 45.34442892453087-576.8353437966009i
0.05                                              0.05                                              626                                               55.09619079828103                                 70.66538174696636-564.1953215258271i
0.05                                              0.05                                              628                                               55.366992280067244                                108.23198988135492-576.5391305679256i
0.05                                              0.05                                              630                                               55.95605363410204                                 110.98941068602369-617.8837903893161i
0.05                                              0.05                                              632                                               56.043847811082415                                85.78877121824536-628.3209677128818i
0.05                                              0.05                                              634                                               55.92347695581193                                 70.58500384025358-621.427135723357i
0.05                                              0.05                                              636                                               55.69308553704529                                 62.4393957483565-605.8427974152956i
0.05                                              0.05                                              638                                               55.40099876597522                                 68.6815862272276-584.892673849276i
0.05                                              0.05                                              640                                               55.23684026954094                                 95.66760208145894-569.9120047458455i
0.05                                              0.05                                              642                                               55.66032730579353                                 138.99156375369125-590.6251466986878i
0.05                                              0.05                                              644                                               56.462380603814815                                134.88383146764883-651.6420778229566i
0.05                                              0.05                                              646                                               56.60596809544093                                 87.46109316320805-670.8705622939311i
0.05                                              0.05                                              648                                               56.405862598792524                                55.60039239072586-658.7974537129367i
0.05                                              0.05                                              650                                               56.16971365630867                                 39.23242225582817-642.2096203681076i
0.05                                              0.05                                              652                                               55.957498429477994                                30.490310662846813-627.1367458010996i
0.05                                              0.05                                              654                                               55.77056225537558                                 25.433296001916176-613.9822665047782i
0.05                                              0.05                                              656                                               55.60247211434689                                 22.324681231866407-602.3175204566038i
0.05                                              0.05                                              658                                               55.44760219407706                                 20.33420847009642-591.7303371651162i
0.05                                              0.05                                              660                                               55.30165579540791                                 19.03224146406107-581.9030354021148i
0.05                                              0.05                                              662                                               55.16143782201996                                 18.18442763908635-572.602183408201i
0.05                                              0.05                                              664                                               55.02452470625923                                 17.656697818142298-563.6548623606934i
0.05                                              0.05                                              666                                               54.88899378754346                                 17.369912675331754-554.9285137438603i
0.05                                              0.05                                              668                                               54.75322991191487                                 17.277169355497985-546.3166400435684i
0.05                                              0.05                                              670                                               54.615787238199246                                17.35195995724215-537.7288863073383i
0.05                                              0.05                                              672                                               54.475284577492495                                17.58189473855457-529.0839267897878i
0.05                                              0.05                                              674                                               54.33031811681325                                 17.96552910358414-520.3040030509585i
0.05                                              0.05                                              676                                               54.179379386255306                                18.511140538500413-511.3103039427636i
0.05                                              0.05                                              678                                               54.02076812544891                                 19.236973123924724-502.0185775585189i
