% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 26 2022, 11:38
% Table:              Table 1 - Global Evaluation 1
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Z_in (s/kg)                                       Impedance (1)
0.18000000000000002                               0.5285714285714285                                349.23                                            199.2420590407207                                 6.86688386723161E9-6.068913726345823E9i
0.18000000000000002                               0.5285714285714285                                440                                               179.94048026659547                                5.714682192583629E8-8.12288516612535E8i
0.18000000000000002                               0.5285714285714285                                523.25                                            192.3090590917009                                 1.7039996062591197E9+3.756898063881407E9i
0.18000000000000002                               0.5285714285714285                                659.25                                            190.03831610768287                                6.380482516391647E8-3.1115126331523585E9i
0.18000000000000002                               0.5285714285714285                                783.99                                            180.06618033831927                                9.610777688027576E8+3.0279499275184083E8i
0.18000000000000002                               0.6142857142857142                                349.23                                            199.0816564706257                                 4.803560349196536E9+7.60698784175699E9i
0.18000000000000002                               0.6142857142857142                                440                                               192.76265268488504                                5.489768685849298E8-4.311620730554807E9i
0.18000000000000002                               0.6142857142857142                                523.25                                            194.04908630740383                                1.1783097510060034E9+4.900608932619793E9i
0.18000000000000002                               0.6142857142857142                                659.25                                            191.06120103734867                                7.25163970780329E8-3.498864926143277E9i
0.18000000000000002                               0.6142857142857142                                783.99                                            186.58215579015928                                2.114099291675714E9+2.8761755490718275E8i
0.18000000000000002                               0.6999999999999998                                349.23                                            192.16266033910304                                2.5768259836325927E9+3.132692296638873E9i
0.18000000000000002                               0.6999999999999998                                440                                               184.0961578150121                                 2.838380405950545E8-1.57719965025636E9i
0.18000000000000002                               0.6999999999999998                                523.25                                            200.01160319460814                                4.4170125106568575E9-8.98651941167066E9i
0.18000000000000002                               0.6999999999999998                                659.25                                            199.62633168357493                                6.774322774532724E9-6.772316838822634E9i
0.18000000000000002                               0.6999999999999998                                783.99                                            195.14114595751914                                2.8647405905550623E9+4.945772261330569E9i
0.26                                              0.1                                               349.23                                            182.61474050691848                                3.051275400963515E8-1.3163528525469353E9i
0.26                                              0.1                                               440                                               196.838189710108                                  5.494843046102765E9-4.2535219211766E9i
0.26                                              0.1                                               523.25                                            192.79825213409956                                1.9818642223472056E9+3.8883356581694646E9i
0.26                                              0.1                                               659.25                                            204.4691832945466                                 2.6549288731702533E9-1.6516563014164469E10i
0.26                                              0.1                                               783.99                                            194.11795303384216                                2.471289439678263E9-4.438824425118342E9i
0.26                                              0.18571428571428572                               349.23                                            201.42384204160567                                5.25638364895919E9-1.0543659195437637E10i
0.26                                              0.18571428571428572                               440                                               194.50197657919801                                1.3583440108541937E9+5.133377145937217E9i
0.26                                              0.18571428571428572                               523.25                                            183.483441172608                                  1.1309284121771739E9+9.752961072348739E8i
0.26                                              0.18571428571428572                               659.25                                            209.00487238435744                                1.369021944639891E10-2.4653555311369434E10i
0.26                                              0.18571428571428572                               783.99                                            199.15351733915656                                1.0353458830018076E9-9.012155351478848E9i
0.26                                              0.2714285714285714                                349.23                                            190.2253131668212                                 2.4281496819297094E9-2.1532731961515923E9i
0.26                                              0.2714285714285714                                440                                               199.72463485045225                                5.2972501652582245E9-8.111439619261912E9i
0.26                                              0.2714285714285714                                523.25                                            195.2520464702825                                 2.4067849316816125E9-5.264951858791984E9i
0.26                                              0.2714285714285714                                659.25                                            189.59757603023525                                2.8771380246596155E9+9.149296730678962E8i
0.26                                              0.2714285714285714                                783.99                                            198.44232426079202                                2.372213111936071E9-8.01456320829859E9i
0.26                                              0.3571428571428571                                349.23                                            188.68909921152138                                1.4605088658314219E9-2.293781313908428E9i
0.26                                              0.3571428571428571                                440                                               190.52496006848568                                2.176663868365828E9+2.5587086624986467E9i
0.26                                              0.3571428571428571                                523.25                                            192.20938655175925                                2.019413811199023E9-3.543126434450706E9i
0.26                                              0.3571428571428571                                659.25                                            184.2671319480666                                 9.232424003768029E8-1.348653115469489E9i
0.26                                              0.3571428571428571                                783.99                                            202.70788488079157                                1.043961327469783E10-8.80690460277477E9i
0.26                                              0.44285714285714284                               349.23                                            203.61051200708107                                1.4377215284967327E10+4.789323257899015E9i
0.26                                              0.44285714285714284                               440                                               188.3141178218659                                 1.8006209205675795E9+1.881650226033442E9i
0.26                                              0.44285714285714284                               523.25                                            194.38519105331883                                5.1731342331235695E9+8.289831847156538E8i
0.26                                              0.44285714285714284                               659.25                                            188.82488172950983                                1.1282074389725785E9-2.521211834548641E9i
0.26                                              0.44285714285714284                               783.99                                            201.02710395282367                                6.382459242488368E9-9.270647051192526E9i
0.26                                              0.5285714285714285                                349.23                                            186.06062107973173                                1.3021619374360662E9+1.5301651899241202E9i
0.26                                              0.5285714285714285                                440                                               194.77337830849777                                9.520098235717375E8-5.395242494624755E9i
0.26                                              0.5285714285714285                                523.25                                            180.41015188703187                                9.282851267770374E8-4.8716629537543154E8i
0.26                                              0.5285714285714285                                659.25                                            196.45182677894758                                1.2038850864920697E9-6.536534493154477E9i
