% Model:              HL4-Brass.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 6 2023, 14:32
% Dimension:          1
% Nodes:              256
% Expressions:        1
% Description:        Global
% freq (Hz)               tube
50                        141.02874808934487
54.509803921568626        145.09523554225052
59.01960784313725         152.42709178811901
63.529411764705884        162.89090186070993
68.0392156862745          148.30488972715685
72.54901960784314         143.00883273546242
77.05882352941177         139.5790694232312
81.56862745098039         136.93369614433624
86.07843137254902         134.68421356468417
90.58823529411765         132.6349377632208
95.09803921568627         130.65933355519894
99.6078431372549          128.6522439567545
104.11764705882354        126.4996277792664
108.62745098039215        124.04136338232519
113.13725490196079        120.99029887114882
117.6470588235294         116.66170081048205
122.15686274509804        108.2765310252621
126.66666666666667        103.8354975609505
131.1764705882353         115.18404959563377
135.68627450980392        120.07365147437254
140.19607843137254        123.35113819316837
144.70588235294116        125.92236081545097
149.2156862745098         128.13330304471162
153.72549019607843        130.1650157613369
158.23529411764707        132.13875563720745
162.7450980392157         134.15917107113754
167.2549019607843         136.34418243903758
171.76470588235293        138.86535868364942
176.27450980392157        142.04176149759783
180.7843137254902         146.67491462692323
185.2941176470588         156.5194088999547
189.80392156862746        155.84952994299664
194.31372549019608        146.44780412971699
198.8235294117647         141.90062942920315
203.33333333333334        138.75900228501052
207.84313725490196        136.25517505105992
212.35294117647058        134.07911128149217
216.86274509803923        132.0624574423646
221.37254901960785        130.0884023686841
225.88235294117646        128.05221953557782
230.39215686274508        125.83132822263237
234.90196078431373        123.24097370778438
239.41176470588235        119.92452528482653
243.92156862745097        114.93336556038118
248.4313725490196         102.89473596359647
252.94117647058823        108.79667262204214
257.45098039215685        116.86914275539647
261.9607843137255         121.12396928352153
266.47058823529414        124.14375206294687
270.98039215686276        126.58614977566147
275.4901960784314         128.73062103832498
280                       130.7344957551457
284.5098039215686         132.71090319239684
289.01960784313724        134.7652343796165
293.52941176470586        137.0255812288843
298.0392156862745         139.69189212255935
302.54901960784315        143.1652903473923
307.05882352941177        148.58271912369256
311.5686274509804         164.4684264331414
316.078431372549          152.0005728161579
320.5882352941176         144.9024901758516
325.0980392156863         140.89972343801875
329.6078431372549         137.98941138961302
334.11764705882354        135.6028342407815
338.62745098039215        133.4866714996964
343.1372549019608         131.4931543355615
347.6470588235294         129.5121242696476
352.156862745098          127.43692706268808
356.6666666666667         125.13301576057218
361.1764705882353         122.38289450466334
365.6862745098039         118.73233790572621
370.19607843137254        112.79823702730128
374.70588235294116        86.10122432152164
379.2156862745098         111.94620691509952
383.72549019607845        118.29528536428889
388.2352941176471         122.07839529614064
392.7450980392157         124.88975868139171
397.2549019607843         127.22534708404375
401.7647058823529         129.31602351219271
406.27450980392155        131.3012732638693
410.78431372549016        133.28894732233556
415.29411764705884        135.3875761828632
419.80392156862746        137.73920808590842
424.3137254901961         140.5816437615835
428.8235294117647         144.43297366747987
433.3333333333333         151.00595960725423
437.84313725490193        170.55737558657017
442.3529411764706         149.32850424472835
446.8627450980392         143.5740792235188
451.37254901960785        139.98354924092706
455.88235294117646        137.26157604452504
460.3921568627451         134.97227484330995
464.9019607843137         132.90413973678935
469.4117647058824         130.92483337991834
473.921568627451          128.92817950178522
478.4313725490196         126.80312953181982
482.94117647058823        124.39895627999648
487.45098039215685        121.45428314065306
491.96078431372547        117.37347902881118
496.4705882352941         109.98827754052563
500.98039215686276        99.93460918252492
505.4901960784314         114.26629348139294
510                       119.53636950519001
514.5098039215686         122.95664510615549
519.0196078431372         125.597402664375
