% Model:              HL4-Brass.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 8 2023, 19:21
% Dimension:          1
% Nodes:              256
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
50                        138.15451011312197
54.509803921568626        140.0355181385657
59.01960784313725         142.28948800484014
63.529411764705884        145.25834512044491
68.0392156862745          149.8731205115882
72.54901960784314         161.4303970122346
77.05882352941177         155.24242205878562
81.56862745098039         146.61234559407782
86.07843137254902         141.7224962757521
90.58823529411765         137.9232084238381
95.09803921568627         134.4766183607697
99.6078431372549          130.95916222318772
104.11764705882354        126.9038983499552
108.62745098039215        121.32752797365931
113.13725490196079        109.21244610598535
117.6470588235294         113.46934970728604
122.15686274509804        121.22643873168468
126.66666666666667        124.98804607983013
131.1764705882353         127.4625745425092
135.68627450980392        129.30929706233425
140.19607843137254        130.7919819930546
144.70588235294116        132.04264650392724
149.2156862745098         133.13701979305588
153.72549019607843        134.1230105501973
158.23529411764707        135.03347245230546
162.7450980392157         135.8927041461298
167.2549019607843         136.72015073729168
171.76470588235293        137.53278893051987
176.27450980392157        138.3469350185602
180.7843137254902         139.17993851096048
185.2941176470588         140.05217832531457
189.80392156862746        140.98992891845847
194.31372549019608        142.03013544687002
198.8235294117647         143.2293817502047
203.33333333333334        144.68286791142856
207.84313725490196        146.57096873097802
212.35294117647058        149.3012418721998
216.86274509803923        154.1499154317501
221.37254901960785        175.1738922232377
225.88235294117646        153.3551538585532
230.39215686274508        145.28417903092202
234.90196078431373        139.38355756471935
239.41176470588235        133.46098303827256
243.92156862745097        125.27479774383949
248.4313725490196         105.6886375614474
252.94117647058823        124.84149879935237
257.45098039215685        129.57333704613598
261.9607843137255         132.23232953511967
266.47058823529414        134.05408845087203
270.98039215686276        135.43694154211548
275.4901960784314         136.55748963866156
280                       137.50858340454056
284.5098039215686         138.34479682163087
289.01960784313724        139.10097766218595
293.52941176470586        139.80096330434588
298.0392156862745         140.4621310092432
302.54901960784315        141.0979958158839
307.05882352941177        141.7198337304522
311.5686274509804         142.3378128817198
316.078431372549          142.9619048180152
320.5882352941176         143.6027646828106
325.0980392156863         144.27275874518173
329.6078431372549         144.98737474233457
334.11764705882354        145.76741116179056
338.62745098039215        146.6427214596079
343.1372549019608         147.65921805934912
347.6470588235294         148.8933490959528
352.156862745098          150.4861222269297
356.6666666666667         152.73945606782715
361.1764705882353         156.49009411587468
365.6862745098039         166.23283632835424
370.19607843137254        161.25745819410096
374.70588235294116        150.85936979515404
379.2156862745098         144.011265236704
383.72549019607845        137.0118721022003
388.2352941176471         125.40823016410813
392.7450980392157         124.74255767405978
397.2549019607843         132.941533467698
401.7647058823529         136.4302353993616
406.27450980392155        138.58892461304313
410.78431372549016        140.14173011574385
415.29411764705884        141.36114166151248
419.80392156862746        142.37733858347167
424.3137254901961         143.2620076843602
428.8235294117647         144.0587676827086
433.3333333333333         144.7963560295017
437.84313725490193        145.4951038490722
442.3529411764706         146.17044953150366
446.8627450980392         146.83503466796338
451.37254901960785        147.50009836791233
455.88235294117646        148.1765474910439
460.3921568627451         148.87594302992156
464.9019607843137         149.6116083035538
469.4117647058824         150.40010978376975
473.921568627451          151.26351502035098
478.4313725490196         152.2332039985929
482.94117647058823        153.35691902470762
487.45098039215685        154.71317597226385
491.96078431372547        156.44473031637904
496.4705882352941         158.85200052710263
500.98039215686276        162.74819921388962
505.4901960784314         172.258893462639
510                       168.91819251738494
514.5098039215686         158.78026004418572
519.0196078431372         152.7689760012096
523.5294117647059         147.5089978190486
528.0392156862745         141.612137625909
532.5490196078431         132.05914620338345
537.0588235294117         126.579863397179
541.5686274509803         137.03928510394203
546.078431372549          141.1710336049263
550.5882352941176         143.74471674701863
555.0980392156863         145.6364621190061
559.6078431372549         147.1646059830515
564.1176470588235         148.48040131935437
568.6274509803922         149.6683702377152
573.1372549019608         150.78194036293257
577.6470588235294         151.85890053528
582.156862745098          152.9292661697811
586.6666666666666         154.02003753923583
591.1764705882352         155.15882854034427
595.6862745098039         156.37757205949788
600.1960784313726         157.71753585802693
604.7058823529412         159.23773371090877
609.2156862745098         161.03151230367192
613.7254901960785         163.26482156715625
618.2352941176471         166.2843413708706
622.7450980392157         171.0429676835695
627.2549019607843         182.71959288667662
631.7647058823529         175.98744635660964
636.2745098039215         168.03866583421762
640.7843137254902         163.61818244866572
645.2941176470588         160.37153389674853
649.8039215686274         157.64911513164114
654.313725490196          155.14743422369878
658.8235294117648         152.6581541223656
663.3333333333334         149.96789895761054
667.843137254902          146.75300457276484
672.3529411764706         142.3099464678988
676.8627450980392         134.54482658123763
681.3725490196078         134.96919925979287
685.8823529411765         142.8600632777559
690.3921568627451         147.52977107697444
694.9019607843137         151.02769303180813
699.4117647058823         154.05660624285477
703.9215686274509         156.9637379349802
708.4313725490196         160.0142020526057
712.9411764705882         163.5280300189844
717.4509803921569         168.07605462568864
721.9607843137255         174.7174771502755
726.4705882352941         176.12018226999567
730.9803921568628         170.11924844828485
735.4901960784314         166.30168129291553
740                       163.71709956246306
744.5098039215686         161.78495891694428
749.0196078431372         160.2422908048494
753.5294117647059         158.9526458204039
758.0392156862745         157.83685557358467
762.5490196078431         156.8449200885816
767.0588235294117         155.9430689824037
