% Model:              HL4-Brass.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 7 2023, 18:02
% Dimension:          1
% Nodes:              256
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
50                        137.21781443138468
54.509803921568626        139.56650248563332
59.01960784313725         142.51122481704155
63.529411764705884        146.69271960733496
68.0392156862745          154.60412097399353
72.54901960784314         161.22990065740098
77.05882352941177         148.83887896545988
81.56862745098039         143.82939619428674
86.07843137254902         140.54600283188603
90.58823529411765         138.0223785606145
95.09803921568627         135.9026704860631
99.6078431372549          134.00984131251295
104.11764705882354        132.23598145803697
108.62745098039215        130.50196225806448
113.13725490196079        128.73725117029662
117.6470588235294         126.86473415756038
122.15686274509804        124.7817465223047
126.66666666666667        122.32378456688843
131.1764705882353         119.16957349985445
135.68627450980392        114.48878801558578
140.19607843137254        104.21134514897362
144.70588235294116        106.11448330414609
149.2156862745098         115.12983413504939
153.72549019607843        119.56508867955776
158.23529411764707        122.61864216032522
162.7450980392157         125.02482414193443
167.2549019607843         127.07903228677216
171.76470588235293        128.9361737292523
176.27450980392157        130.6949183908771
180.7843137254902         132.43098064721474
185.2941176470588         134.21523222492505
189.80392156862746        136.12904257883352
194.31372549019608        138.2858204811667
198.8235294117647         140.87577236507784
203.33333333333334        144.2921179130081
207.84313725490196        149.6585836448497
212.35294117647058        165.2900662355318
216.86274509803923        153.18854786873143
221.37254901960785        146.07370989964812
225.88235294117646        142.10092817004784
230.39215686274508        139.24811760501035
234.90196078431373        136.94760017990473
239.41176470588235        134.95240546604484
243.92156862745097        133.12619477650162
248.4313725490196         131.3780414228704
252.94117647058823        129.63468173698703
257.45098039215685        127.82386720447036
261.9607843137255         125.85829373434575
266.47058823529414        123.61028864068162
270.98039215686276        120.8547190251723
275.4901960784314         117.09363586097513
280                       110.69887167137432
284.5098039215686         87.3497529181597
289.01960784313724        111.81589809981895
293.52941176470586        117.66417242955553
298.0392156862745         121.24955689889981
302.54901960784315        123.92263365017368
307.05882352941177        126.12630646665878
311.5686274509804         128.0677739262335
316.078431372549          129.86755383843558
320.5882352941176         131.61012863879066
325.0980392156863         133.36734717427237
329.6078431372549         135.21420420385274
334.11764705882354        137.24642357046497
338.62745098039215        139.6114947162128
343.1372549019608         142.58496182303887
347.6470588235294         146.8305874448116
352.156862745098          155.00286201880704
356.6666666666667         160.31594608478574
361.1764705882353         148.5760088443283
365.6862745098039         143.6564464456502
370.19607843137254        140.406017424033
374.70588235294116        137.89704586981716
379.2156862745098         135.78309479276737
383.72549019607845        133.89026813518652
388.2352941176471         132.11162463168225
392.7450980392157         130.36785312264217
397.2549019607843         128.5872151185887
401.7647058823529         126.68992583650711
406.27450980392155        124.56780465472653
410.78431372549016        122.04396889706778
415.29411764705884        118.7636367171119
419.80392156862746        113.76554973291283
424.3137254901961         101.4694236282939
428.8235294117647         107.9224200189285
433.3333333333333         115.86544231111372
437.84313725490193        120.05760796244158
442.3529411764706         123.00997584913975
446.8627450980392         125.36622388953852
451.37254901960785        127.3962897775135
455.88235294117646        129.24580089446692
460.3921568627451         131.01012823976052
464.9019607843137         132.76489723612232
469.4117647058824         134.58368452051775
473.921568627451          136.55452796021896
478.4313725490196         138.805395090768
482.94117647058823        141.56116870179747
487.45098039215685        145.3181005205346
491.96078431372547        151.69327814451367
496.4705882352941         174.4438294488549
500.98039215686276        150.6339315036521
505.4901960784314         144.77237560939915
510                       141.17868074479657
514.5098039215686         138.49759503218945
519.0196078431372         136.28474814937417
523.5294117647059         134.33197581181733
528.0392156862745         132.5177099749625
532.5490196078431         130.75600566477962
537.0588235294117         128.97271454857506
541.5686274509803         127.08889752882465
546.078431372549          125.00140517911618
550.5882352941176         122.54693456127619
555.0980392156863         119.40939474772527
559.6078431372549         114.781072414492
564.1176470588235         104.86378122746567
568.6274509803922         106.04932262669519
573.1372549019608         115.19696295910799
577.6470588235294         119.6757094710843
582.156862745098          122.75588149787517
586.6666666666666         125.18496677494063
591.1764705882352         127.26309044878091
595.6862745098039         129.14809177189053
600.1960784313726         130.94153019869066
604.7058823529412         132.72295954398854
609.2156862745098         134.56928156385186
613.7254901960785         136.57249168221907
618.2352941176471         138.86701198185645
622.7450980392157         141.691397583903
