% Model:              9_brass_instrument_simulation.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 6 2023, 14:42
% Dimension:          1
% Nodes:              256
% Expressions:        1
% Description:        Global
% freq (Hz)               |Z_in| Tube
50                        141.0289307726398
54.509803921568626        145.0955350231786
59.01960784313725         152.42782106916064
63.529411764705884        162.88830433013874
68.0392156862745          148.30436152963378
72.54901960784314         143.00851287543014
77.05882352941177         139.5788235288243
81.56862745098039         136.93348369430004
86.07843137254902         134.68401554615264
90.58823529411765         132.63474205816644
95.09803921568627         130.659129903379
99.6078431372549          128.65202101577904
104.11764705882354        126.49936980141783
108.62745098039215        124.04104377475561
113.13725490196079        120.98986241413539
117.6470588235294         116.66099188686417
122.15686274509804        108.27464840441733
126.66666666666667        103.8387466137449
131.1764705882353         115.1849818405068
135.68627450980392        120.07422755735006
140.19607843137254        123.3515776588972
144.70588235294116        125.9227345998292
149.2156862745098         128.13364495858923
153.72549019607843        130.16534703639297
158.23529411764707        132.13909366610088
162.7450980392157         134.15953447784378
167.2549019607843         136.3445966867979
171.76470588235293        138.86586697131395
176.27450980392157        142.04245580231074
180.7843137254902         146.67607004860398
185.2941176470588         156.5230131353269
189.80392156862746        155.8460888940854
194.31372549019608        146.44656874630056
198.8235294117647         141.89983311053658
203.33333333333334        138.7583822923153
207.84313725490196        136.254640520676
212.35294117647058        134.0786174478997
216.86274509803923        132.06197562860217
221.37254901960785        130.08790874225969
225.88235294117646        128.05168822172186
230.39215686274508        125.83072323892382
234.90196078431373        123.24023256761754
239.41176470588235        119.92351004914609
243.92156862745097        114.93163300824966
248.4313725490196         102.88789834718015
252.94117647058823        108.8001862493504
257.45098039215685        116.87059057040221
261.9607843137255         121.12492344141741
266.47058823529414        124.14450058567292
270.98039215686276        126.58679934895068
275.4901960784314         128.73122680671557
280                       130.7350947083153
284.5098039215686         132.71152748308228
289.01960784313724        134.76592025012798
293.52941176470586        137.02638052942442
298.0392156862745         139.6928972783764
302.54901960784315        143.16671306959498
307.05882352941177        148.58529615334288
311.5686274509804         164.48434963821575
316.078431372549          151.99673473831803
320.5882352941176         144.90073347765707
325.0980392156863         140.89854688235897
329.6078431372549         137.98849284181384
334.11764705882354        135.60204788614382
338.62745098039215        133.48595040830125
343.1372549019608         131.49245269979548
347.6470588235294         129.51140159782406
352.156862745098          127.43613700715792
356.6666666666667         125.13209094864914
361.1764705882353         122.38171224215982
365.6862745098039         118.73060630197804
370.19607843137254        112.79484206265323
374.70588235294116        86.0263242710686
379.2156862745098         111.95015752398596
383.72549019607845        118.29730724520887
388.2352941176471         122.07981632621761
392.7450980392157         124.89090166303939
397.2549019607843         127.22634350479753
401.7647058823529         129.31694457460816
406.27450980392155        131.30216813014403
410.78431372549016        133.28985990511367
415.29411764705884        135.3885577076847
419.80392156862746        137.74033512348615
424.3137254901961         140.5830608888681
428.8235294117647         144.43504333169494
433.3333333333333         151.010235331193
437.84313725490193        170.5168959607601
442.3529411764706         149.32484987123578
446.8627450980392         143.57206405132192
451.37254901960785        139.98207790674311
455.88235294117646        137.26035105713714
460.3921568627451         134.97116812105685
464.9019607843137         132.9030784774164
469.4117647058824         130.92376443698416
473.921568627451          128.92705230921015
478.4313725490196         126.80188144678678
482.94117647058823        124.39748886846344
487.45098039215685        121.45240199920741
491.96078431372547        117.37066775854916
496.4705882352941         109.9819924111989
500.98039215686276        99.95419326820735
505.4901960784314         114.27006925338816
510                       119.53849768470532
514.5098039215686         122.95817922462325
519.0196078431372         125.5986582213215
523.5294117647059         127.8455615961009
528.0392156862745         129.89359759287674
532.5490196078431         131.8689447902688
537.0588235294117         133.87670811190512
541.5686274509803         136.03114276796217
546.078431372549          138.49302414225838
550.5882352941176         141.55131182301687
555.0980392156863         145.8971527257662
559.6078431372549         154.35734164460115
564.1176470588235         158.47001551890008
568.6274509803922         147.26940856195458
573.1372549019608         142.40255047416892
577.6470588235294         139.1338103707435
582.156862745098          136.56685302133866
586.6666666666666         134.3580884669384
591.1764705882352         132.32730142102588
595.6862745098039         130.35353253938612
600.1960784313726         128.33214606729123
604.7058823529412         126.14495929367803
609.2156862745098         123.61964811832992
613.7254901960785         120.43502658558509
618.2352941176471         115.78155837517934
622.7450980392157         105.82990887095546
627.2549019607843         106.8089241665585
631.7647058823529         116.11319186297561
636.2745098039215         120.64082060408873
640.7843137254902         123.77443220754954
645.2941176470588         126.27419791138536
649.8039215686274         128.44811189454725
654.313725490196          130.46379655182866
658.8235294117648         132.43780948186443
663.3333333333334         134.47489355850936
667.843137254902          136.69792950378826
672.3529411764706         139.29251502729133
676.8627450980392         142.61771449458485
681.3725490196078         147.63199874055357
685.8823529411765         159.83366926289813
690.3921568627451         153.5972452584518
694.9019607843137         145.59269673484957
699.4117647058823         141.35408955693887
703.9215686274509         138.3411471177783
708.4313725490196         135.9021636366412
712.9411764705882         133.7593816864294
717.4509803921569         131.75608901293313
721.9607843137255         129.77935560744513
726.4705882352941         127.72373187502929
730.9803921568628         125.46076599602985
735.4901960784314         122.78952796461749
740                       119.30598377303485
744.5098039215686         113.86041868592119
749.0196078431372         97.66293998277673
753.5294117647059         110.60161792622979
758.0392156862745         117.64755615012353
762.5490196078431         121.63585202361269
767.0588235294117         124.53968765349327
771.5686274509803         126.92287024192852
776.0784313725491         129.03723962178188
780.5882352941177         131.03001732346374
785.0980392156863         133.01119349616957
789.6078431372549         135.0875033629503
794.1176470588235         137.39388812224155
798.6274509803922         140.14892015883908
803.1372549019608         143.8101350064037
